symbol,underlying,type,issuer,price,strike,gearing,sensitivity,decay_pct_day,days_to_expiry,moneyness_pct
SIRI01C2609A,SIRI,CALL,01,0.28,1.60,5.4,0.98,-1.1,38,-4.4
SIRI13C2609A,SIRI,CALL,13,0.32,1.55,4.8,1.02,-0.9,45,-1.3
SIRI41C2608A,SIRI,CALL,41,0.14,1.75,10.2,0.45,-2.8,12,-12.5
SIRI01P2609A,SIRI,PUT,01,0.25,1.48,5.8,0.92,-1.3,38,+3.4
SIRI13P2609A,SIRI,PUT,13,0.29,1.50,5.1,0.96,-1.0,45,+2.0
PTTE01C2609A,PTTEP,CALL,01,0.45,155.0,7.2,1.05,-1.2,36,-3.9
PTTE13C2609B,PTTEP,CALL,13,0.38,160.0,8.6,0.92,-1.5,42,-6.9
PTTE41C2609A,PTTEP,CALL,41,0.22,168.0,14.5,0.52,-3.1,18,-11.3
PTTE01P2609A,PTTEP,PUT,01,0.42,142.0,6.9,0.95,-1.4,36,+4.9
PTTE13P2609A,PTTEP,PUT,13,0.50,145.0,5.8,1.02,-1.1,42,+2.8
S5001C2609A,^SET.BK,CALL,01,0.55,1640.0,9.5,0.98,-1.2,35,-1.9
S5013C2609B,^SET.BK,CALL,13,0.42,1660.0,12.2,0.88,-1.6,40,-3.1
S5041C2608A,^SET.BK,CALL,41,0.18,1700.0,22.0,0.40,-3.5,14,-5.4
S5001P2609A,^SET.BK,PUT,01,0.48,1580.0,10.1,0.95,-1.3,35,+1.9
S5013P2609A,^SET.BK,PUT,13,0.52,1590.0,9.2,1.02,-1.1,40,+1.2
DELT01C2609A,DELTA,CALL,01,0.38,280.0,6.5,0.95,-1.3,34,-5.7
DELT13C2609A,DELTA,CALL,13,0.46,270.0,5.4,1.08,-1.0,44,-2.2
DELT01P2609A,DELTA,PUT,01,0.40,250.0,6.2,1.02,-1.2,34,+5.6
DELT13P2609A,DELTA,PUT,13,0.32,240.0,7.8,0.85,-1.6,44,+10.0
GULF01C2609A,GULF,CALL,01,0.35,68.0,7.1,0.96,-1.2,37,-4.8
GULF13C2609A,GULF,CALL,13,0.42,66.0,5.8,1.04,-0.9,45,-1.9
GULF01P2609A,GULF,PUT,01,0.38,62.0,6.5,0.98,-1.3,37,+4.4
SCB01C2609A,SCB,CALL,01,0.44,158.0,6.8,0.94,-1.2,35,-4.4
SCB13C2609A,SCB,CALL,13,0.52,154.0,5.6,1.05,-0.9,42,-1.9
SCB01P2609A,SCB,PUT,01,0.36,146.0,7.9,0.98,-1.4,35,+3.4
SCB13P2609A,SCB,PUT,13,0.42,148.0,6.7,1.04,-1.1,42,+2.0
